title,tags,genre,actor,language,rating,image_file
Asur,"myth thriller murder cbi sacrifice",Thriller,Arshad Warsi,Hindi,8.5,asur.jpg
Panchayat,"village comedy drama rural life",Comedy,Jitendra Kumar,Hindi,9.1,panchayat.jpg
Sacred Games,"crime thriller politics police gang",Crime,Nawazuddin Siddiqui,Hindi,8.6,sacred_games.jpg
Mirzapur,"mafia revenge violence drugs",Action,Pankaj Tripathi,Hindi,8.5,mirzapur.jpg
The Family Man,"agent spy terrorism family mission",Action,Manoj Bajpayee,Tamil,8.7,the_family_man.jpg
Special Ops,"espionage mission patriot RAW terrorism",Espionage,Kay Kay Menon,Hindi,8.6,special_ops.jpg
Scam 1992,"stock market scam fraud finance biography",Biography,Pratik Gandhi,Hindi,9.3,scam_1992.jpg
Delhi Crime,"true story police crime justice delhi",Crime,Shefali Shah,Hindi,8.5,delhi_crime.jpg
Made in Heaven,"luxury wedding drama secrets romance",Drama,Sobhita Dhulipala,Hindi,8.3,made_in_heaven.jpg
Breathe,"cop thriller investigation mystery family",Thriller,R. Madhavan,Hindi,8.3,breathe.jpg
Rocket Boys,"science biography patriotism india history",Biography,Jim Sarbh,Hindi,8.9,rocket_boys.jpg
Jubilee,"vintage bollywood drama industry dream",Drama,Aparshakti Khurana,Hindi,8.1,jubilee.jpg
Taj,"historic mughal war politics betrayal",Historical,Dharmendra,Hindi,7.5,taj.jpg
Rana Naidu,"action drama crime family underworld",Crime,Rana Daggubati,Hindi,7.0,rana_naidu.jpg
Class,"teen thriller mystery school elite betrayal",Mystery,Gurfateh Pirzada,Hindi,6.8,class.jpg
Gullak,"middle class life humor nostalgia family",Drama,Jameel Khan,Hindi,9.0,gullak.jpg
TVF Aspirants,"ias exam friendship struggle motivation",Drama,Sunny Hinduja,Hindi,8.7,tvf_aspirants.jpg
Kota Factory,"engineering student kota black white drama",Drama,Mayur More,Hindi,9.2,kota_factory.jpg
Farzi,"fake currency thriller scam action",Thriller,Shahid Kapoor,English,8.4,farzi.jpg
Mumbai Diaries,"hospital doctor crisis medical emergency",Medical,Mohit Raina,Tamil,7.9,mumbai_diaries.jpg
